t, Ue, U1, U2, U3, U4, U5
1.921921921921922183e-02, -1.884546836332066655e-01, -1.765745665682018073e-01, 2.915970163385132707e+00, 2.746383526430092648e+00, 2.587398703725614979e+00, -2.640139716902092815e+00
1.941941941941941960e-02, -1.427010753656924591e-01, -1.395311567433968891e-01, 2.954521913758422436e+00, 2.784394005919879511e+00, 2.513746359957524490e+00, -2.693999401107657565e+00
1.961961961961962084e-02, -9.469248411667191556e-02, -1.002744083342315407e-01, 2.993536787898739338e+00, 2.823104222710953071e+00, 2.467226725579224400e+00, -2.720428473316144569e+00
1.981981981981982208e-02, -4.518754857162872451e-02, -5.942546785094609402e-02, 3.032399009858735450e+00, 2.861892729254792656e+00, 2.448244559028511791e+00, -2.719226548255237574e+00
2.002002002002001985e-02, 5.031447135496555471e-03, -1.763063273419499671e-02, 3.070495173211809536e+00, 2.900143003897379668e+00, 2.456764229627579788e+00, -2.690633525756404687e+00
2.022022022022022109e-02, 5.517093518906199257e-02, 2.444895248262678178e-02, 3.107223846748081275e+00, 2.937253067793674344e+00, 2.492336507755622321e+00, -2.635299588104676349e+00
2.042042042042042232e-02, 1.044386041648355801e-01, 6.614765346038221916e-02, 3.142005136414022459e+00, 2.972644739380915002e+00, 2.554079083474285028e+00, -2.554301582489272082e+00
2.062062062062062009e-02, 1.520559192494387035e-01, 1.068058567893706706e-01, 3.174289761351498651e+00, 3.005772729546666522e+00, 2.640692840378995765e+00, -2.449123666578572944e+00
2.082082082082082133e-02, 1.972704247597901472e-01, 1.457804251110630667e-01, 3.203567785702911674e+00, 3.036133390665087362e+00, 2.750472305108029758e+00, -2.321643876671618312e+00
2.102102102102102257e-02, 2.393676345563708618e-01, 1.824547839920214742e-01, 3.229376627323736759e+00, 3.063272894058087115e+00, 2.881332616259096646e+00, -2.174104345131072868e+00
2.122122122122122381e-02, 2.776823224562894321e-01, 2.162487433716078489e-01, 3.251308408318797305e+00, 3.086794735848461091e+00, 3.030830867779750637e+00, -2.009087342944940957e+00
2.142142142142142158e-02, 3.116090342333966423e-01, 2.466275594628967727e-01, 3.269016327107711284e+00, 3.106366470885971065e+00, 3.196207806193304801e+00, -1.829471210119092195e+00
2.162162162162162282e-02, 3.406116550933245279e-01, 2.731104456576383122e-01, 3.282220152284056169e+00, 3.121725445017975442e+00, 3.374413945052248565e+00, -1.638402180355594373e+00
2.182182182182182406e-02, 3.642318814368143975e-01, 2.952781406330141634e-01, 3.290710651912065465e+00, 3.132683780738672485e+00, 3.562165496772662365e+00, -1.439236626878035885e+00
2.202202202202202183e-02, 3.820964630393148265e-01, 3.127795287534247959e-01, 3.294352864155790872e+00, 3.139131983397253745e+00, 3.755980103473925524e+00, -1.235503951034945702e+00
2.222222222222222307e-02, 3.939231012048833858e-01, 3.253371660550608002e-01, 3.293088206652290850e+00, 3.141041607104680722e+00, 3.952241124432706254e+00, -1.030841219427839572e+00
2.242242242242242431e-02, 3.995249096909077036e-01, 3.327517268026546349e-01, 3.286935453026833542e+00, 3.138466455355305662e+00, 4.147247693376753475e+00, -8.289425101513916427e-01
2.262262262262262208e-02, 3.988133679114760910e-01, 3.349050946236075132e-01, 3.275990373690496948e+00, 3.131542284701884782e+00, 4.337304341975981359e+00, -6.334691860963599375e-01
2.282282282282282332e-02, 3.917997197524465403e-01, 3.317624159740401035e-01, 3.260424423008746686e+00, 3.120484750355479342e+00, 4.518784966198691855e+00, -4.479864114911863426e-01
2.302302302302302456e-02, 3.785947958939409608e-01, 3.233726558631641046e-01, 3.240482017670070825e+00, 3.105585235977657899e+00, 4.688297236780081256e+00, -2.757999239779234113e-01
2.322322322322322580e-02, 3.594072624479466849e-01, 3.098679896115376642e-01, 3.216476957004752002e+00, 3.087202617120101245e+00, 4.842793336872288634e+00, -1.198478485024338375e-01
2.342342342342342357e-02, 3.345403235863103064e-01, 2.914621109914914410e-01, 3.188787885563047375e+00, 3.065753036127074171e+00, 4.979794263838334345e+00, 1.752038602295832859e-02
2.362362362362362481e-02, 3.043869302646670660e-01, 2.684470244511412695e-01, 3.157852674364221457e+00, 3.041693223166401339e+00, 5.097611723725839816e+00, 1.347605506134737230e-01
2.382382382382382605e-02, 2.694235707547460446e-01, 2.411887960756350924e-01, 3.124162064426752927e+00, 3.015500214243175048e+00, 5.195563408718057552e+00, 2.313422736177688788e-01
2.402402402402402382e-02, 2.302027411079558827e-01, 2.101219502534342753e-01, 3.088252343725191640e+00, 2.987645944782737040e+00, 5.274101761468307004e+00, 3.078694353801396666e-01
2.422422422422422505e-02, 1.873442145330637132e-01, 1.757424210884894200e-01, 3.050697022481817289e+00, 2.958574426726625184e+00, 5.334784224543729358e+00, 3.660428388625149854e-01
2.442442442442442629e-02, 1.415252476505352019e-01, 1.385994592538211112e-01, 3.012097663906129430e+00, 2.928676828321894021e+00, 5.380040945387889018e+00, 4.084195914411476447e-01
2.462462462462462406e-02, 9.346987838570096352e-02, 9.928599631683615589e-02, 2.973073515590519467e+00, 2.898277749109995138e+00, 5.412733179147037887e+00, 4.379668227172734407e-01
2.482482482482482530e-02, 4.393748461699956143e-02, 5.842867666192505527e-02, 2.934251183551494169e+00, 2.867634462145053575e+00, 5.435746184520672486e+00, 4.576541630713870656e-01
2.502502502502502654e-02, -6.289215622816562989e-03, 1.667755245724213825e-02, 2.896254065665692323e+00, 2.836938959505712177e+00, 5.451627237239182300e+00, 4.700922768778741379e-01
2.522522522522522778e-02, -5.641653276996832361e-02, -2.530474602163550885e-02, 2.859691545871047236e+00, 2.806323958196109469e+00, 5.462298047913084709e+00, 4.772470380220122932e-01
2.542542542542542555e-02, -1.056523477266428368e-01, -6.685327726461057218e-02, 2.825149793893329431e+00, 2.775898637408723779e+00, 5.469081849923043137e+00, 4.804784878480070631e-01
2.562562562562562679e-02, -1.532186290412677621e-01, -1.073110960129213531e-01, 2.793181794231092585e+00, 2.745733903028362732e+00, 5.472861635324388629e+00, 4.806939125596871309e-01
2.582582582582582803e-02, -1.983637274737568013e-01, -1.460398790049495799e-01, 2.764298425331810805e+00, 2.715887380273974916e+00, 5.473721117594081420e+00, 4.779970785065006389e-01
2.602602602602602580e-02, -2.403742536652493100e-01, -1.824305817258100315e-01, 2.738959591502538871e+00, 2.686431311507469832e+00, 5.470568328346010034e+00, 4.713210846255125874e-01
2.622622622622622704e-02, -2.785863512196891101e-01, -2.159140951569391842e-01, 2.717565354820573820e+00, 2.657480454042538298e+00, 5.460759214046292165e+00, 4.580612148834011244e-01
2.642642642642642828e-02, -3.123961870583676359e-01, -2.459733183152308378e-01, 2.700445607902287382e+00, 2.629228121843904642e+00, 5.438508941528478857e+00, 4.324982077043846296e-01
2.662662662662662952e-02, -3.412694932773578937e-01, -2.721616835810297674e-01, 2.687842442619889027e+00, 2.602091410153583251e+00, 5.388453142227111137e+00, 3.794078246781554808e-01
2.682682682682682729e-02, -3.647500097260136798e-01, -2.941264651541781738e-01, 2.679885287059013965e+00, 2.577004649121399371e+00, 5.277177625885903112e+00, 2.656882494744948753e-01
2.702702702702702853e-02, -3.824666938957006490e-01, -3.116211500934708556e-01, 2.676574237117596677e+00, 2.555899075725435399e+00, 5.048888317474782284e+00, 3.619015517867220366e-02
2.722722722722722977e-02, -3.941395841870468097e-01, -3.244192279001100188e-01, 2.677868570194778641e+00, 2.541798557587703566e+00, 4.675237287757939342e+00, -3.364229360004467595e-01
2.742742742742742754e-02, -3.995842239035309884e-01, -3.321577232937371060e-01, 2.683875562748678334e+00, 2.537062960438057235e+00, 4.245974807154465402e+00, -7.616013382241364482e-01
2.762762762762762878e-02, -3.987145760628136859e-01, -3.345105154688120530e-01, 2.694713458111137161e+00, 2.541334702821009373e+00, 3.879811729887891136e+00, -1.120729045005777635e+00
2.782782782782783002e-02, -3.915443829655443908e-01, -3.314274605489044290e-01, 2.710255574002253809e+00, 2.552713939652483610e+00, 3.592971406554853697e+00, -1.398189837701311555e+00
2.802802802802802778e-02, -3.781869490375453502e-01, -3.230275410344782272e-01, 2.730209073211289361e+00, 2.569668300959238039e+00, 3.354178373197870489e+00, -1.625749522671236846e+00
2.822822822822822902e-02, -3.588533503769253952e-01, -3.094900885199720064e-01, 2.754222737260420661e+00, 2.591305642335700821e+00, 3.142945395072648473e+00, -1.824177363853049405e+00
2.842842842842843026e-02, -3.338490992991263728e-01, -2.910477387429731833e-01, 2.781902795077841883e+00, 2.617031979835132471e+00, 2.952848434202190120e+00, -2.000082830810127277e+00
2.862862862862863150e-02, -3.035693165872346277e-01, -2.679984501055317492e-01, 2.812807409371771428e+00, 2.646325300753935572e+00, 2.783512747702414636e+00, -2.154003721284090123e+00
2.882882882882882927e-02, -2.684924877363607520e-01, -2.407089786732784231e-01, 2.846446962979633177e+00, 2.678655219387363395e+00, 2.636325458961527257e+00, -2.284720041602829266e+00
2.902902902902903051e-02, -2.291729018568072762e-01, -2.096119018183094651e-01, 2.882289429433798844e+00, 2.713464005114098132e+00, 2.512926533044289812e+00, -2.390769336913599385e+00
2.922922922922923175e-02, -1.862318927175816707e-01, -1.751995744322156767e-01, 2.919768155019072164e+00, 2.750167069448728352e+00, 2.414773365257798066e+00, -2.470882006012077081e+00
2.942942942942942952e-02, -1.403480203405318982e-01, -1.380165158054629804e-01, 2.958290611399753800e+00, 2.788159199277661315e+00, 2.343015893277838657e+00, -2.524104181047766460e+00
2.962962962962963076e-02, -9.224634829697533900e-02, -9.865099646695470181e-02, 2.997247956435039828e+00, 2.826822697458201805e+00, 2.298424548042337978e+00, -2.549867144846589273e+00
2.982982982982983200e-02, -4.268698614854238294e-02, -5.772557384654526669e-02, 3.036024056682788963e+00, 2.865535838668841429e+00, 2.281376358798879345e+00, -2.547998407394676867e+00
3.003003003003002977e-02, 7.546921913787033726e-03, -1.588750580399925227e-02, 3.074005797280801922e+00, 2.903682552809425221e+00, 2.291822263131762405e+00, -2.518751236708250740e+00
3.023023023023023101e-02, 5.766157242718394221e-02, 2.620156247933644322e-02, 3.110592675232845217e+00, 2.940661834875451852e+00, 2.329284552359420335e+00, -2.462804067544537734e+00
3.043043043043043225e-02, 1.068650464538095507e-01, 6.787607367712578110e-02, 3.145205994977330999e+00, 2.975896840813618383e+00, 2.392862115605586926e+00, -2.381252184781891490e+00
3.063063063063063349e-02, 1.543798235981315436e-01, 1.084770334946445203e-01, 3.177298063956001339e+00, 3.008843983377374798e+00, 2.481235683870463671e+00, -2.275599406799912572e+00
