t, x, y, z, e_y1, e_y2, e_y3, p0, p1, p2, p3, norm_P
3.703703703703703498e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.503107186039200678e-10, 1.000000000000000000e+00, 1.777915001775368708e-10, -8.456441627451107834e-01, -8.481358763626925152e-12, -5.328802039621789444e-01, -1.532076844686433257e-10, 9.995375739609055898e-01
3.803803803803803563e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.376820444329141929e-10, 1.000000000000000000e+00, 2.533664128797448868e-10, -7.878384089913140764e-01, -2.679091586505073455e-11, -6.143920557117648062e-01, -1.714606774946660698e-10, 9.990830580105406478e-01
3.903903903903903627e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.063827514345121926e-10, 1.000000000000000000e+00, 3.332125167502395392e-10, -7.223496908275643946e-01, -4.915679195963717690e-11, -6.898947394851235870e-01, -1.894810395637254357e-10, 9.988712766958135481e-01
4.004004004004003692e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.536188700354373114e-10, 1.000000000000000000e+00, 4.134912426904177929e-10, -6.498372647661039281e-01, -7.607781374574691222e-11, -7.586723599535607487e-01, -2.067658216161789731e-10, 9.989355436844745695e-01
4.104104104104104311e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -7.734812238922345056e-11, 1.000000000000000000e+00, 4.895817297124942829e-10, -5.709603873191742007e-01, -1.080528079217408913e-10, -8.200090217883825305e-01, -2.228120745923843093e-10, 9.992049638097287856e-01
4.204204204204204376e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.360479355507612072e-11, 1.000000000000000000e+00, 5.562537472785172341e-10, -4.863783149990181798e-01, -1.455806011859794188e-10, -8.731888296608936173e-01, -2.371168494326986837e-10, 9.995111793000842626e-01
4.304304304304304440e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.495175305685344700e-10, 1.000000000000000000e+00, 6.057521389575748136e-10, -3.967023787047712635e-01, -1.887674974720500107e-10, -9.178300363329233713e-01, -2.483317738367879723e-10, 9.998923706404200251e-01
4.404404404404404505e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.995768541232926347e-10, 1.000000000000000000e+00, 6.303068748811627917e-10, -3.028382580940488511e-01, -2.382723826743380952e-10, -9.535574106048748666e-01, -2.551552294150697508e-10, 1.000491252278055576e+00
4.504504504504504570e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.719758160878291811e-10, 1.000000000000000000e+00, 6.291378894965191187e-10, -2.060480764172005763e-01, -2.958352875166897452e-10, -9.789440631328122366e-01, -2.593205463970944971e-10, 1.000393566821682567e+00
4.604604604604604634e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.623860213896646469e-10, 1.000000000000000000e+00, 5.918202720871579339e-10, -1.072917503045703880e-01, -3.610040907457024074e-10, -9.941495251543988054e-01, -2.586446434300087264e-10, 9.999223960128780231e-01
